Car Model,Location,Price,Fuel,KM driven,Transmission
2015 Hyundai Verna FLUIDIC 1.6 CRDI SX AT,Thane West Thane,₹3.88 lakh,Diesel,"233,237 km",Automatic
2013 Hyundai Verna FLUIDIC 1.6 VTVT EX,Kansai Section Ambernath Maharashtra,₹3.38 lakh,Petrol,"90,691 km",Manual
2010 Hyundai i20 ASTA 1.2,Panvel Navi Mumbai Maharashtra,₹0.92 lakh,Petrol,"103,579 km",Manual
2012 Hyundai i10 MAGNA 1.1,Virar West Virar Maharashtra,₹1.39 lakh,Petrol,"41,397 km",Manual
2013 Hyundai i20 MAGNA 1.2,Nerul Navi Mumbai,₹2.87 lakh,Petrol,"33,180 km",Manual
2011 Hyundai i10 SPORTZ 1.2,Kharghar Navi Mumbai Maharashtra,₹1.62 lakh,Petrol,"46,169 km",Manual
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Avachit Pada Bhiwandi,₹3.49 lakh,Petrol,"160,981 km",Automatic
2015 Hyundai Xcent SX 1.2 (O),Badlapur Thane Maharashtra,₹3.62 lakh,Petrol,"71,071 km",Manual
2012 Hyundai Santro Xing GL PLUS (CNG),Gandhi Nagar Muzaffarnagar,₹1.23 lakh,Petrol,"86,858 km",Manual
2010 Hyundai i10 SPORTZ 1.2,Bhagwati Colony Saharanpur,₹0.89 lakh,Petrol,"86,660 km",Manual
2013 Hyundai Verna FLUIDIC 1.6 EX CRDI AT,Panvel Navi Mumbai,₹3.47 lakh,Diesel,"110,248 km",Automatic
2015 Hyundai Xcent SX 1.2,Khadakpada Kalyan Maharashtra,₹3.61 lakh,Petrol,"36,033 km",Manual
2014 Hyundai Elite i20 ASTA 1.4 CRDI,Ahore Ahore,₹3.6 lakh,Diesel,"84,506 km",Manual
2016 Hyundai Xcent SX 1.2,X2XQ+JH Navi Mumbai Maharashtra,₹3.7 lakh,Petrol,"106,017 km",Manual
2015 Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Lower Parel Mumbai,₹2.9 lakh,Petrol,"79,754 km",Manual
2011 Hyundai i10 SPORTZ 1.2,Thane West Thane Maharashtra,₹1.56 lakh,Petrol,"44,366 km",Manual
2014 Hyundai i20 MAGNA (O) 1.2,Kandivali West Mumbai,₹2.7 lakh,Petrol,"31,720 km",Manual
2013 Hyundai i20 SPORTZ 1.2,T-5 Mumbai Maharashtra,₹2.38 lakh,Petrol,"107,051 km",Manual
2023 Hyundai Verna 1.5 TURBO GDI MT SX,Sandor Vasai-Virar Maharashtra,₹12 lakh,Petrol,"18,300 km",Manual
2011 Hyundai Verna FLUIDIC 1.6 VTVT SX,Dahisar East Mumbai Maharashtra,₹2 lakh,Petrol,"87,000 km",Manual
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Sudhir Tower Mulund West Mumbai,₹4.76 lakh,Petrol,"66,321 km",Automatic
2013 Hyundai i20 ASTA 1.2,Chinchpada Gaon Kalyan Maharashtra,₹2.93 lakh,Petrol,"51,005 km",Manual
2020 Hyundai VENUE SX PLUS 1.0 TURBO DCT,Kalwa Thane Maharashtra,₹7.59 lakh,Petrol,"36,438 km",Automatic
2016 Hyundai Creta SX PLUS AT 1.6 DIESEL,Ghatkopar East Mumbai Maharashtra,₹8.23 lakh,Diesel,"153,845 km",Automatic
2014 Hyundai Xcent S 1.2,Thane West Thane,₹3.27 lakh,Petrol,"44,015 km",Manual
2014 Hyundai Xcent S 1.1 CRDI,Kanjurmarg East Mumbai Maharashtra,₹3.28 lakh,Diesel,"61,481 km",Manual
2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Kailash Colony Ulhasnagar,₹3.43 lakh,Petrol,"103,917 km",Manual
2017 Hyundai Creta SX PLUS 1.6 PETROL,Lok Dhara Kalyan,₹7.87 lakh,Petrol,"59,225 km",Manual
2015 Hyundai Verna 1.6 CRDI SX,Nerul Navi Mumbai,₹5.12 lakh,Diesel,"95,613 km",Manual
2018 Hyundai Xcent E+,Sector 38 Gurugram,₹3.99 lakh,Petrol,"56,613 km",Manual
2018 Hyundai Verna 1.6 VTVT SX (O) AT,Borivali Mumbai Maharashtra,₹7.25 lakh,Petrol,"49,497 km",Automatic
2014 Hyundai Xcent S 1.2,Panvel Navi Mumbai Maharashtra,₹3.5 lakh,Petrol,"95,267 km",Manual
2015 Hyundai Elite i20 SPORTZ 1.2,Mulund West Mumbai Maharashtra,₹3.9 lakh,Petrol,"53,353 km",Manual
2015 Hyundai Xcent S (O) 1.2,Panvel Navi Mumbai Maharashtra,₹3.37 lakh,Petrol,"75,162 km",Manual
2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Powai Mumbai Maharashtra,₹3.75 lakh,Petrol,"51,551 km",Manual
2011 Hyundai i10 SPORTZ 1.2 AT,Kandivali East Mumbai,₹1.29 lakh,Petrol,"70,834 km",Automatic
